Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,996.200,996.799,0.599,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,996.800,998.933,2.133,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,999.267,1006.067,6.800,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,1003.733,1005.133,1.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,1006.600,1008.067,1.467,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,1008.467,1008.667,0.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1008.533,1008.733,0.200,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,1014.333,1015.667,1.334,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1018.333,1019.400,1.067,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,anogenital sniffing,,,STATE,1029.400,1030.667,1.267,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1029.733,1030.467,0.734,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1050.333,1052.800,2.467,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1054.133,1055.467,1.334,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,1054.133,1055.133,1.000,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1057.067,1059.600,2.533,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,facial sniffing,,,STATE,1057.067,1057.800,0.733,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1082.600,1083.200,0.600,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1086.667,1088.333,1.666,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1089.600,1090.000,0.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,social_agent,anogenital sniffing,,,STATE,1089.867,1090.267,0.400,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,anogenital sniffing,,,STATE,1091.000,1094.533,3.533,,
11_nov_p1,2024-09-25 10:43:19,,/Users/naylajimenez/Downloads/11_nov_p1_converted.mp4,2341.530,15.0,subject,facial sniffing,,,STATE,1110.667,1110.933,0.266,,
